ref_area,indicator,source,classif1,time,obs_value,note_source
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2013,9.1,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2013,-7.93,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2013,-7.46,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2013,-2.08,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2013,0.69,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2013,0.14,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2013,0.03,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2013,1.95,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2013,0.1,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2013,1.54,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2013,0.84,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2014,0.42,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2014,2.15,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2014,1.14,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2014,-2.25,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2014,1.57,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2014,-2.65,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2014,-0.1,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2014,1.1,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2014,0.83,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2014,-5.05,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2014,0,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2014,2.75,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2014,0.54,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2015,0.47,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2015,2.17,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2015,3.71,R1:3139
